"enhancer","TF","promoter","promoter_measurement_type","tf_prom_id","new_route","gene"
"chr17_7676220_7677155","FOXO1","chr17_7548516_7549449","tCRE","FOXO1__chr17_7548516_7549449",TRUE,"TNFSF12"
"chr17_7676220_7677155","FOXO1","chr17_7677172_7678041","tCRE","FOXO1__chr17_7677172_7678041",TRUE,"TP53"
"chr17_7676220_7677155","FOXO1","chr17_7588996_7589894","tCRE","FOXO1__chr17_7588996_7589894",TRUE,"SOX15"
"chr17_7676220_7677155","FOXO1","chr17_7838137_7839013","aCRE","FOXO1__chr17_7838137_7839013",TRUE,"ONTG17000001835.1"
"chr17_7676220_7677155","FOXO1","chr17_7251699_7252600","tCRE","FOXO1__chr17_7251699_7252600",TRUE,"ELP5"
"chr17_7676220_7677155","FOXO1","chr17_7885108_7886376","tCRE","FOXO1__chr17_7885108_7886376",TRUE,"NAA38"
"chr17_7676220_7677155","FOXO1","chr17_7383744_7384665","aCRE","FOXO1__chr17_7383744_7384665",TRUE,"ONTG17000000079.1"
"chr17_7676220_7677155","FOXO1","chr17_7589911_7590383","tCRE","FOXO1__chr17_7589911_7590383",TRUE,"SOX15"
"chr17_7676220_7677155","FOXO1","chr17_7572165_7573064","tCRE","FOXO1__chr17_7572165_7573064",TRUE,"EIF4A1"
"chr17_7676220_7677155","ZEB1","chr17_7548516_7549449","tCRE","ZEB1__chr17_7548516_7549449",TRUE,"TNFSF12"
"chr17_7676220_7677155","ZEB1","chr17_7677172_7678041","tCRE","ZEB1__chr17_7677172_7678041",TRUE,"TP53"
"chr17_7676220_7677155","ZEB1","chr17_7588996_7589894","tCRE","ZEB1__chr17_7588996_7589894",TRUE,"SOX15"
"chr17_7676220_7677155","ZEB1","chr17_7838137_7839013","aCRE","ZEB1__chr17_7838137_7839013",TRUE,"ONTG17000001835.1"
"chr17_7676220_7677155","ZEB1","chr17_7251699_7252600","tCRE","ZEB1__chr17_7251699_7252600",TRUE,"ELP5"
"chr17_7676220_7677155","ZEB1","chr17_7885108_7886376","tCRE","ZEB1__chr17_7885108_7886376",TRUE,"NAA38"
"chr17_7676220_7677155","ZEB1","chr17_7383744_7384665","aCRE","ZEB1__chr17_7383744_7384665",TRUE,"ONTG17000000079.1"
"chr17_7676220_7677155","ZEB1","chr17_7589911_7590383","tCRE","ZEB1__chr17_7589911_7590383",TRUE,"SOX15"
"chr17_7676220_7677155","ZEB1","chr17_7572165_7573064","tCRE","ZEB1__chr17_7572165_7573064",TRUE,"EIF4A1"
"chr17_77465921_77466838","POU5F1","chr17_77372622_77373540","aCRE","POU5F1__chr17_77372622_77373540",TRUE,"SEPTIN9"
"chr17_77465921_77466838","POU5F1","chr17_77450027_77450899","aCRE","POU5F1__chr17_77450027_77450899",TRUE,"SEPTIN9"
"chr17_77465921_77466838","POU5F1","chr17_77451910_77452702","aCRE","POU5F1__chr17_77451910_77452702",TRUE,"ONTG17000001609.1"
"chr17_77465921_77466838","POU5F1","chr17_77280883_77281805","aCRE","POU5F1__chr17_77280883_77281805",FALSE,"SEPTIN9"
"chr17_77465921_77466838","POU5F1","chr17_77280883_77281805","tCRE","POU5F1__chr17_77280883_77281805",FALSE,"SEPTIN9"
"chr17_78365407_78366803","SOX4","chr17_78359835_78360681","tCRE","SOX4__chr17_78359835_78360681",TRUE,"SOCS3"
"chr17_78365407_78366803","SOX4","chr17_78268837_78271404","aCRE","SOX4__chr17_78268837_78271404",TRUE,"ONTG17000001523.1"
"chr17_78365407_78366803","SOX4","chr17_78359835_78360681","aCRE","SOX4__chr17_78359835_78360681",TRUE,"SOCS3"
"chr17_78979574_78980496","MEIS1","chr17_78723073_78723978","aCRE","MEIS1__chr17_78723073_78723978",TRUE,"CYTH1"
"chr17_78979574_78980496","MEIS1","chr17_78723073_78723978","tCRE","MEIS1__chr17_78723073_78723978",TRUE,"CYTH1"
"chr17_78979574_78980496","MEIS1","chr17_79183160_79184125","tCRE","MEIS1__chr17_79183160_79184125",TRUE,"ONTG17000001711.1"
"chr17_78979574_78980496","MEIS1","chr17_78782010_78782938","tCRE","MEIS1__chr17_78782010_78782938",TRUE,"CYTH1"
"chr17_78979574_78980496","HAND1","chr17_78723073_78723978","aCRE","HAND1__chr17_78723073_78723978",TRUE,"CYTH1"
"chr17_78979574_78980496","HAND1","chr17_78723073_78723978","tCRE","HAND1__chr17_78723073_78723978",TRUE,"CYTH1"
"chr17_78979574_78980496","HAND1","chr17_79183160_79184125","tCRE","HAND1__chr17_79183160_79184125",TRUE,"ONTG17000001711.1"
"chr17_78979574_78980496","HAND1","chr17_78782010_78782938","tCRE","HAND1__chr17_78782010_78782938",TRUE,"CYTH1"
"chr17_78979574_78980496","HOXB2","chr17_78723073_78723978","aCRE","HOXB2__chr17_78723073_78723978",TRUE,"CYTH1"
"chr17_78979574_78980496","HOXB2","chr17_78723073_78723978","tCRE","HOXB2__chr17_78723073_78723978",TRUE,"CYTH1"
"chr17_78979574_78980496","HOXB2","chr17_79183160_79184125","tCRE","HOXB2__chr17_79183160_79184125",TRUE,"ONTG17000001711.1"
"chr17_78979574_78980496","HOXB2","chr17_78782010_78782938","tCRE","HOXB2__chr17_78782010_78782938",TRUE,"CYTH1"
"chr17_78979574_78980496","IRF9","chr17_78723073_78723978","aCRE","IRF9__chr17_78723073_78723978",TRUE,"CYTH1"
"chr17_78979574_78980496","IRF9","chr17_78723073_78723978","tCRE","IRF9__chr17_78723073_78723978",TRUE,"CYTH1"
"chr17_78979574_78980496","IRF9","chr17_79183160_79184125","tCRE","IRF9__chr17_79183160_79184125",TRUE,"ONTG17000001711.1"
"chr17_78979574_78980496","IRF9","chr17_78782010_78782938","tCRE","IRF9__chr17_78782010_78782938",TRUE,"CYTH1"
"chr17_79706510_79707600","NEUROD1","chr17_79610543_79611495","tCRE","NEUROD1__chr17_79610543_79611495",TRUE,"RBFOX3"
"chr17_80096560_80097995","SHOX2","chr17_80101043_80101970","tCRE","SHOX2__chr17_80101043_80101970",TRUE,"GAA"
"chr17_80096560_80097995","SHOX2","chr17_80146835_80147724","tCRE","SHOX2__chr17_80146835_80147724",TRUE,"EIF4A3"
"chr17_80096560_80097995","NEUROD2","chr17_80101043_80101970","tCRE","NEUROD2__chr17_80101043_80101970",TRUE,"GAA"
"chr17_80096560_80097995","NEUROD2","chr17_80146835_80147724","tCRE","NEUROD2__chr17_80146835_80147724",TRUE,"EIF4A3"
"chr17_81097071_81097998","JUN","chr17_81034544_81035473","tCRE","JUN__chr17_81034544_81035473",TRUE,"BAIAP2"
"chr17_81097071_81097998","PLAGL1","chr17_81034544_81035473","tCRE","PLAGL1__chr17_81034544_81035473",TRUE,"BAIAP2"
"chr17_81923142_81924078","MAFB","chr17_81960891_81961901","tCRE","MAFB__chr17_81960891_81961901",TRUE,"NOTUM"
"chr17_81923142_81924078","MAFB","chr17_82031311_82032424","tCRE","MAFB__chr17_82031311_82032424",TRUE,"RAC3"
"chr17_81923142_81924078","MAFB","chr17_81977200_81978155","tCRE","MAFB__chr17_81977200_81978155",TRUE,"ASPSCR1"
"chr17_81923142_81924078","MAFB","chr17_81917669_81918582","tCRE","MAFB__chr17_81917669_81918582",TRUE,"SIRT7"
"chr17_81923142_81924078","MAFB","chr17_81927465_81928374","tCRE","MAFB__chr17_81927465_81928374",TRUE,"MAFG-DT"
"chr17_81923142_81924078","MAFB","chr17_82022612_82023554","tCRE","MAFB__chr17_82022612_82023554",TRUE,"CENPX"
"chr17_81923142_81924078","MAFB","chr17_81911050_81912034","tCRE","MAFB__chr17_81911050_81912034",TRUE,"PCYT2"
"chr17_81923142_81924078","MAFB","chr17_81683407_81684362","tCRE","MAFB__chr17_81683407_81684362",TRUE,"HGS"
"chr17_81923142_81924078","MAFB","chr17_81860374_81861337","tCRE","MAFB__chr17_81860374_81861337",TRUE,"P4HB"
"chr17_81923142_81924078","MAFB","chr17_81891279_81892246","tCRE","MAFB__chr17_81891279_81892246",TRUE,"ANAPC11"
"chr18_31819155_31820249","POU5F1","chr18_31497579_31498679","aCRE","POU5F1__chr18_31497579_31498679",FALSE,"DSG2"
"chr18_31819155_31820249","POU5F1","chr18_32018203_32019224","tCRE","POU5F1__chr18_32018203_32019224",FALSE,"RNF125"
"chr18_31819155_31820249","SOX2","chr18_31497579_31498679","aCRE","SOX2__chr18_31497579_31498679",TRUE,"DSG2"
"chr18_31819155_31820249","SOX2","chr18_32018203_32019224","tCRE","SOX2__chr18_32018203_32019224",TRUE,"RNF125"
"chr18_34592707_34593665","ETV4","chr18_34709837_34710762","aCRE","ETV4__chr18_34709837_34710762",TRUE,"DTNA"
"chr18_34592707_34593665","ETV4","chr18_34709837_34710762","tCRE","ETV4__chr18_34709837_34710762",TRUE,"DTNA"
"chr18_34592707_34593665","ETV4","chr18_34978859_34979772","aCRE","ETV4__chr18_34978859_34979772",TRUE,NA
"chr18_35488149_35489038","SOX3","chr18_35343910_35344737","tCRE","SOX3__chr18_35343910_35344737",TRUE,"ZNF24"
"chr18_379390_380387","ETV1","chr18_712198_713171","aCRE","ETV1__chr18_712198_713171",TRUE,"ENOSF1"
"chr18_379390_380387","ETV1","chr18_712198_713171","tCRE","ETV1__chr18_712198_713171",TRUE,"ENOSF1"
"chr18_379390_380387","ETV1","chr18_657930_658683","tCRE","ETV1__chr18_657930_658683",TRUE,"TYMSOS"
"chr18_379390_380387","ETV1","chr18_657149_657910","tCRE","ETV1__chr18_657149_657910",TRUE,"TYMS"
"chr18_379390_380387","MEIS1","chr18_712198_713171","aCRE","MEIS1__chr18_712198_713171",TRUE,"ENOSF1"
"chr18_379390_380387","MEIS1","chr18_712198_713171","tCRE","MEIS1__chr18_712198_713171",TRUE,"ENOSF1"
"chr18_379390_380387","MEIS1","chr18_657930_658683","tCRE","MEIS1__chr18_657930_658683",TRUE,"TYMSOS"
"chr18_379390_380387","MEIS1","chr18_657149_657910","tCRE","MEIS1__chr18_657149_657910",TRUE,"TYMS"
"chr18_49849469_49850437","ATF3","chr18_49492014_49492874","tCRE","ATF3__chr18_49492014_49492874",TRUE,"RPL17"
"chr18_49849469_49850437","ATF3","chr18_49460196_49461132","tCRE","ATF3__chr18_49460196_49461132",TRUE,"DYM"
"chr18_49849469_49850437","JUN","chr18_49492014_49492874","tCRE","JUN__chr18_49492014_49492874",TRUE,"RPL17"
"chr18_49849469_49850437","JUN","chr18_49460196_49461132","tCRE","JUN__chr18_49460196_49461132",TRUE,"DYM"
"chr18_49849469_49850437","ZNF263","chr18_49492014_49492874","tCRE","ZNF263__chr18_49492014_49492874",TRUE,"RPL17"
"chr18_49849469_49850437","ZNF263","chr18_49460196_49461132","tCRE","ZNF263__chr18_49460196_49461132",TRUE,"DYM"
"chr18_49849469_49850437","RBPJ","chr18_49492014_49492874","tCRE","RBPJ__chr18_49492014_49492874",TRUE,"RPL17"
"chr18_49849469_49850437","RBPJ","chr18_49460196_49461132","tCRE","RBPJ__chr18_49460196_49461132",TRUE,"DYM"
"chr18_5540088_5541131","MEIS1","chr18_5630350_5631231","tCRE","MEIS1__chr18_5630350_5631231",TRUE,"EPB41L3"
"chr18_5540088_5541131","MEIS1","chr18_5237505_5238433","tCRE","MEIS1__chr18_5237505_5238433",TRUE,"LINC00667"
"chr18_5540088_5541131","MEIS1","chr18_5542565_5544380","tCRE","MEIS1__chr18_5542565_5544380",TRUE,"EPB41L3"
"chr18_5540088_5541131","NEUROG2","chr18_5630350_5631231","tCRE","NEUROG2__chr18_5630350_5631231",TRUE,"EPB41L3"
"chr18_5540088_5541131","NEUROG2","chr18_5237505_5238433","tCRE","NEUROG2__chr18_5237505_5238433",TRUE,"LINC00667"
"chr18_5540088_5541131","NEUROG2","chr18_5542565_5544380","tCRE","NEUROG2__chr18_5542565_5544380",TRUE,"EPB41L3"
"chr18_5540088_5541131","TFAP2A","chr18_5630350_5631231","tCRE","TFAP2A__chr18_5630350_5631231",TRUE,"EPB41L3"
"chr18_5540088_5541131","TFAP2A","chr18_5237505_5238433","tCRE","TFAP2A__chr18_5237505_5238433",TRUE,"LINC00667"
"chr18_5540088_5541131","TFAP2A","chr18_5542565_5544380","tCRE","TFAP2A__chr18_5542565_5544380",TRUE,"EPB41L3"
"chr18_5540088_5541131","CREB5","chr18_5630350_5631231","tCRE","CREB5__chr18_5630350_5631231",TRUE,"EPB41L3"
"chr18_5540088_5541131","CREB5","chr18_5237505_5238433","tCRE","CREB5__chr18_5237505_5238433",TRUE,"LINC00667"
"chr18_5540088_5541131","CREB5","chr18_5542565_5544380","tCRE","CREB5__chr18_5542565_5544380",TRUE,"EPB41L3"
"chr18_5540088_5541131","JUND","chr18_5630350_5631231","tCRE","JUND__chr18_5630350_5631231",TRUE,"EPB41L3"
"chr18_5540088_5541131","JUND","chr18_5237505_5238433","tCRE","JUND__chr18_5237505_5238433",TRUE,"LINC00667"
"chr18_5540088_5541131","JUND","chr18_5542565_5544380","tCRE","JUND__chr18_5542565_5544380",TRUE,"EPB41L3"
"chr18_5540088_5541131","KLF7","chr18_5630350_5631231","tCRE","KLF7__chr18_5630350_5631231",TRUE,"EPB41L3"
"chr18_5540088_5541131","KLF7","chr18_5237505_5238433","tCRE","KLF7__chr18_5237505_5238433",TRUE,"LINC00667"
"chr18_5540088_5541131","KLF7","chr18_5542565_5544380","tCRE","KLF7__chr18_5542565_5544380",TRUE,"EPB41L3"
"chr18_5540088_5541131","JUN","chr18_5630350_5631231","tCRE","JUN__chr18_5630350_5631231",FALSE,"EPB41L3"
"chr18_5540088_5541131","JUN","chr18_5237505_5238433","tCRE","JUN__chr18_5237505_5238433",TRUE,"LINC00667"
"chr18_5540088_5541131","JUN","chr18_5542565_5544380","tCRE","JUN__chr18_5542565_5544380",FALSE,"EPB41L3"
"chr18_59409262_59410198","NR2F6","chr18_59273017_59273918","aCRE","NR2F6__chr18_59273017_59273918",TRUE,"RAX"
"chr18_59409262_59410198","NR2F6","chr18_59265196_59266056","aCRE","NR2F6__chr18_59265196_59266056",TRUE,NA
"chr18_59897163_59898130","SOX2","chr18_59899410_59900378","tCRE","SOX2__chr18_59899410_59900378",TRUE,"PMAIP1"
"chr18_59897163_59898130","SOX2","chr18_59899410_59900378","aCRE","SOX2__chr18_59899410_59900378",TRUE,"PMAIP1"
"chr18_59897163_59898130","POU5F1","chr18_59899410_59900378","tCRE","POU5F1__chr18_59899410_59900378",FALSE,"PMAIP1"
"chr18_59897163_59898130","POU5F1","chr18_59899410_59900378","aCRE","POU5F1__chr18_59899410_59900378",FALSE,"PMAIP1"
"chr18_9985634_9986824","MSX1","chr18_10454158_10455079","tCRE","MSX1__chr18_10454158_10455079",FALSE,"APCDD1"
"chr18_9985634_9986824","MSX1","chr18_10131619_10132634","aCRE","MSX1__chr18_10131619_10132634",FALSE,"ONTG18000000061.1"
"chr19_10576947_10577881","ZNF708","chr19_10270715_10271600","tCRE","ZNF708__chr19_10270715_10271600",TRUE,"ICAM1"
"chr19_10576947_10577881","ZNF708","chr19_10603801_10604662","aCRE","ZNF708__chr19_10603801_10604662",TRUE,NA
"chr19_10576947_10577881","ZNF708","chr19_10586337_10587711","tCRE","ZNF708__chr19_10586337_10587711",TRUE,"AP1M2"
"chr19_10576947_10577881","ZNF708","chr19_10625014_10625958","tCRE","ZNF708__chr19_10625014_10625958",TRUE,"SLC44A2"
"chr19_10576947_10577881","ZNF708","chr19_10602012_10602953","tCRE","ZNF708__chr19_10602012_10602953",TRUE,"SLC44A2"
"chr19_10576947_10577881","ZNF708","chr19_10380222_10381146","tCRE","ZNF708__chr19_10380222_10381146",TRUE,"TYK2"
"chr19_10576947_10577881","ZNF708","chr19_10960431_10961332","tCRE","ZNF708__chr19_10960431_10961332",TRUE,"SMARCA4"
"chr19_10576947_10577881","ZNF708","chr19_10653648_10654583","tCRE","ZNF708__chr19_10653648_10654583",TRUE,"ILF3"
"chr19_10576947_10577881","ZNF708","chr19_10568581_10569518","tCRE","ZNF708__chr19_10568581_10569518",TRUE,"CDKN2D"
"chr19_10576947_10577881","ZNF708","chr19_10403280_10404126","tCRE","ZNF708__chr19_10403280_10404126",TRUE,"CDC37"
"chr19_10576947_10577881","NR2F6","chr19_10270715_10271600","tCRE","NR2F6__chr19_10270715_10271600",TRUE,"ICAM1"
"chr19_10576947_10577881","NR2F6","chr19_10603801_10604662","aCRE","NR2F6__chr19_10603801_10604662",TRUE,NA
"chr19_10576947_10577881","NR2F6","chr19_10586337_10587711","tCRE","NR2F6__chr19_10586337_10587711",TRUE,"AP1M2"
"chr19_10576947_10577881","NR2F6","chr19_10625014_10625958","tCRE","NR2F6__chr19_10625014_10625958",TRUE,"SLC44A2"
"chr19_10576947_10577881","NR2F6","chr19_10602012_10602953","tCRE","NR2F6__chr19_10602012_10602953",TRUE,"SLC44A2"
"chr19_10576947_10577881","NR2F6","chr19_10380222_10381146","tCRE","NR2F6__chr19_10380222_10381146",TRUE,"TYK2"
"chr19_10576947_10577881","NR2F6","chr19_10960431_10961332","tCRE","NR2F6__chr19_10960431_10961332",TRUE,"SMARCA4"
"chr19_10576947_10577881","NR2F6","chr19_10653648_10654583","tCRE","NR2F6__chr19_10653648_10654583",TRUE,"ILF3"
"chr19_10576947_10577881","NR2F6","chr19_10568581_10569518","tCRE","NR2F6__chr19_10568581_10569518",TRUE,"CDKN2D"
"chr19_10576947_10577881","NR2F6","chr19_10403280_10404126","tCRE","NR2F6__chr19_10403280_10404126",TRUE,"CDC37"
"chr19_10576947_10577881","NR2F1","chr19_10270715_10271600","tCRE","NR2F1__chr19_10270715_10271600",TRUE,"ICAM1"
"chr19_10576947_10577881","NR2F1","chr19_10603801_10604662","aCRE","NR2F1__chr19_10603801_10604662",TRUE,NA
"chr19_10576947_10577881","NR2F1","chr19_10586337_10587711","tCRE","NR2F1__chr19_10586337_10587711",TRUE,"AP1M2"
"chr19_10576947_10577881","NR2F1","chr19_10625014_10625958","tCRE","NR2F1__chr19_10625014_10625958",TRUE,"SLC44A2"
"chr19_10576947_10577881","NR2F1","chr19_10602012_10602953","tCRE","NR2F1__chr19_10602012_10602953",TRUE,"SLC44A2"
"chr19_10576947_10577881","NR2F1","chr19_10380222_10381146","tCRE","NR2F1__chr19_10380222_10381146",TRUE,"TYK2"
"chr19_10576947_10577881","NR2F1","chr19_10960431_10961332","tCRE","NR2F1__chr19_10960431_10961332",TRUE,"SMARCA4"
"chr19_10576947_10577881","NR2F1","chr19_10653648_10654583","tCRE","NR2F1__chr19_10653648_10654583",TRUE,"ILF3"
"chr19_10576947_10577881","NR2F1","chr19_10568581_10569518","tCRE","NR2F1__chr19_10568581_10569518",TRUE,"CDKN2D"
"chr19_10576947_10577881","NR2F1","chr19_10403280_10404126","tCRE","NR2F1__chr19_10403280_10404126",TRUE,"CDC37"
"chr19_10576947_10577881","HIC2","chr19_10270715_10271600","tCRE","HIC2__chr19_10270715_10271600",TRUE,"ICAM1"
"chr19_10576947_10577881","HIC2","chr19_10603801_10604662","aCRE","HIC2__chr19_10603801_10604662",TRUE,NA
"chr19_10576947_10577881","HIC2","chr19_10586337_10587711","tCRE","HIC2__chr19_10586337_10587711",TRUE,"AP1M2"
"chr19_10576947_10577881","HIC2","chr19_10625014_10625958","tCRE","HIC2__chr19_10625014_10625958",TRUE,"SLC44A2"
"chr19_10576947_10577881","HIC2","chr19_10602012_10602953","tCRE","HIC2__chr19_10602012_10602953",TRUE,"SLC44A2"
"chr19_10576947_10577881","HIC2","chr19_10380222_10381146","tCRE","HIC2__chr19_10380222_10381146",TRUE,"TYK2"
"chr19_10576947_10577881","HIC2","chr19_10960431_10961332","tCRE","HIC2__chr19_10960431_10961332",TRUE,"SMARCA4"
"chr19_10576947_10577881","HIC2","chr19_10653648_10654583","tCRE","HIC2__chr19_10653648_10654583",TRUE,"ILF3"
"chr19_10576947_10577881","HIC2","chr19_10568581_10569518","tCRE","HIC2__chr19_10568581_10569518",TRUE,"CDKN2D"
"chr19_10576947_10577881","HIC2","chr19_10403280_10404126","tCRE","HIC2__chr19_10403280_10404126",TRUE,"CDC37"
"chr19_13623780_13624816","NHLH1","chr19_13163810_13165136","aCRE","NHLH1__chr19_13163810_13165136",TRUE,"ONTG19000001161.1"
"chr19_13623780_13624816","NEUROD2","chr19_13163810_13165136","aCRE","NEUROD2__chr19_13163810_13165136",FALSE,"ONTG19000001161.1"
"chr19_15899527_15900469","ETV5","chr19_16197471_16198359","tCRE","ETV5__chr19_16197471_16198359",FALSE,"AP1M1"
"chr19_15899527_15900469","FOXO1","chr19_16197471_16198359","tCRE","FOXO1__chr19_16197471_16198359",TRUE,"AP1M1"
"chr19_17264368_17265269","ETV5","chr19_17245758_17246590","tCRE","ETV5__chr19_17245758_17246590",TRUE,"NR2F6"
"chr19_17264368_17265269","ETV5","chr19_17235318_17236272","tCRE","ETV5__chr19_17235318_17236272",TRUE,"NR2F6"
"chr19_17264368_17265269","ETV5","chr19_17338871_17339675","aCRE","ETV5__chr19_17338871_17339675",TRUE,"GTPBP3"
"chr19_17264368_17265269","ETV5","chr19_17327414_17328408","tCRE","ETV5__chr19_17327414_17328408",TRUE,"ONTG19000000634.1"
"chr19_17264368_17265269","ETV5","chr19_17497248_17498020","aCRE","ETV5__chr19_17497248_17498020",TRUE,"ONTG19000001414.1"
"chr19_17264368_17265269","ETV5","chr19_17762210_17763144","aCRE","ETV5__chr19_17762210_17763144",TRUE,"FCHO1"
"chr19_17264368_17265269","ETV5","chr19_17405185_17406148","tCRE","ETV5__chr19_17405185_17406148",TRUE,"BST2"
"chr19_17264368_17265269","ETV5","chr19_17248206_17248989","aCRE","ETV5__chr19_17248206_17248989",TRUE,"ONTG19000001406.1"
"chr19_17264368_17265269","ETV5","chr19_17309019_17309928","tCRE","ETV5__chr19_17309019_17309928",TRUE,"DDA1"
"chr19_17264368_17265269","ETV5","chr19_17332301_17333210","aCRE","ETV5__chr19_17332301_17333210",TRUE,NA
"chr19_17264368_17265269","ETV5","chr19_17209376_17210282","aCRE","ETV5__chr19_17209376_17210282",TRUE,NA
"chr19_17264368_17265269","ETV5","chr19_17214994_17215952","tCRE","ETV5__chr19_17214994_17215952",TRUE,"USE1"
"chr19_17264368_17265269","ETV5","chr19_17403077_17404012","tCRE","ETV5__chr19_17403077_17404012",TRUE,"ONTG19000000635.1"
"chr19_18596397_18597327","SP8","chr19_18593834_18594926","tCRE","SP8__chr19_18593834_18594926",FALSE,"CRLF1"
"chr19_18596397_18597327","SP8","chr19_18610302_18611031","aCRE","SP8__chr19_18610302_18611031",TRUE,NA
"chr19_18596397_18597327","SP8","chr19_18287554_18288491","aCRE","SP8__chr19_18287554_18288491",FALSE,"ONTG19000001435.1"
"chr19_2324101_2324846","INSM1","chr19_2049458_2050292","aCRE","INSM1__chr19_2049458_2050292",TRUE,NA
"chr19_2324101_2324846","NHLH1","chr19_2049458_2050292","aCRE","NHLH1__chr19_2049458_2050292",TRUE,NA
"chr19_2324101_2324846","NEUROG2","chr19_2049458_2050292","aCRE","NEUROG2__chr19_2049458_2050292",TRUE,NA
"chr19_2324101_2324846","ETV1","chr19_2049458_2050292","aCRE","ETV1__chr19_2049458_2050292",TRUE,NA
"chr19_2324101_2324846","PAX6","chr19_2049458_2050292","aCRE","PAX6__chr19_2049458_2050292",TRUE,NA
"chr19_2324101_2324846","NEUROD1","chr19_2049458_2050292","aCRE","NEUROD1__chr19_2049458_2050292",TRUE,NA
"chr19_30003615_30004537","NR2F6","chr19_30224662_30225763","aCRE","NR2F6__chr19_30224662_30225763",TRUE,"ONTG19000001710.1"
"chr19_30003615_30004537","ZIC1","chr19_30224662_30225763","aCRE","ZIC1__chr19_30224662_30225763",TRUE,"ONTG19000001710.1"
"chr19_32787119_32788170","SP8","chr19_32971645_32972572","tCRE","SP8__chr19_32971645_32972572",TRUE,"CEP89"
"chr19_35090252_35091212","HEY2","chr19_35040756_35041939","tCRE","HEY2__chr19_35040756_35041939",TRUE,"HPN"
"chr19_35090252_35091212","HEY2","chr19_35247732_35249113","tCRE","HEY2__chr19_35247732_35249113",TRUE,"LSR"
"chr19_35090252_35091212","HEY2","chr19_35545142_35546076","tCRE","HEY2__chr19_35545142_35546076",TRUE,"TMEM147"
"chr19_35090252_35091212","HEY2","chr19_34859978_34860973","tCRE","HEY2__chr19_34859978_34860973",TRUE,"ENSG00000271109.2"
"chr19_35090252_35091212","HEY2","chr19_35153424_35154308","aCRE","HEY2__chr19_35153424_35154308",TRUE,NA
"chr19_35090252_35091212","HEY2","chr19_35140866_35141825","tCRE","HEY2__chr19_35140866_35141825",TRUE,"FXYD1"
"chr19_35090252_35091212","HEY2","chr19_35154588_35155679","tCRE","HEY2__chr19_35154588_35155679",TRUE,"FXYD5"
"chr19_35090252_35091212","HEY2","chr19_34677161_34678083","tCRE","HEY2__chr19_34677161_34678083",TRUE,"ZNF302"
"chr19_35090252_35091212","HEY2","chr19_35142487_35143853","tCRE","HEY2__chr19_35142487_35143853",TRUE,"FXYD7"
"chr19_35138446_35139885","ZIC1","chr19_35142487_35143853","tCRE","ZIC1__chr19_35142487_35143853",TRUE,"FXYD7"
"chr19_35138446_35139885","ZIC1","chr19_35135002_35136005","aCRE","ZIC1__chr19_35135002_35136005",TRUE,"LGI4"
"chr19_35138446_35139885","ZIC1","chr19_34999761_35000624","tCRE","ZIC1__chr19_34999761_35000624",TRUE,"GRAMD1A"
"chr19_35138446_35139885","ZIC1","chr19_34677161_34678083","tCRE","ZIC1__chr19_34677161_34678083",TRUE,"ZNF302"
"chr19_35138446_35139885","ZIC1","chr19_35510050_35510936","tCRE","ZIC1__chr19_35510050_35510936",TRUE,"DMKN"
"chr19_35138446_35139885","ZIC1","chr19_35140866_35141825","tCRE","ZIC1__chr19_35140866_35141825",TRUE,"FXYD1"
"chr19_35852191_35853007","MAFB","chr19_36139477_36140354","tCRE","MAFB__chr19_36139477_36140354",TRUE,"CAPNS1"
"chr19_35852191_35853007","MAFB","chr19_36114863_36115781","tCRE","MAFB__chr19_36114863_36115781",TRUE,"POLR2I"
"chr19_35852191_35853007","MAFB","chr19_35647804_35648701","tCRE","MAFB__chr19_35647804_35648701",TRUE,"COX6B1"
"chr19_35852191_35853007","MAFB","chr19_35855902_35857217","tCRE","MAFB__chr19_35855902_35857217",TRUE,"KIRREL2"
"chr19_35852191_35853007","MAFB","chr19_36182511_36183476","aCRE","MAFB__chr19_36182511_36183476",TRUE,NA
"chr19_38727905_38728818","FOS","chr19_38792319_38793189","aCRE","FOS__chr19_38792319_38793189",TRUE,NA
"chr19_38727905_38728818","FOS","chr19_38851650_38852483","tCRE","FOS__chr19_38851650_38852483",FALSE,"HNRNPL"
"chr19_38727905_38728818","FOS","chr19_38974837_38976070","tCRE","FOS__chr19_38974837_38976070",FALSE,"FBXO17"
"chr19_38911674_38912741","SHOX2","chr19_39406311_39407257","aCRE","SHOX2__chr19_39406311_39407257",TRUE,"ZFP36"
"chr19_38911674_38912741","SHOX2","chr19_39319943_39321318","tCRE","SHOX2__chr19_39319943_39321318",TRUE,"LRFN1"
"chr19_40980530_40981382","POU5F1","chr19_41135266_41136286","aCRE","POU5F1__chr19_41135266_41136286",FALSE,"ONTG19000000476.1"
"chr19_40980530_40981382","POU5F1","chr19_41297992_41299029","aCRE","POU5F1__chr19_41297992_41299029",FALSE,"ONTG19000000481.1"
"chr19_40980530_40981382","POU5F1","chr19_41089736_41090649","aCRE","POU5F1__chr19_41089736_41090649",TRUE,NA
"chr19_40980530_40981382","POU5F1","chr19_41192727_41193694","tCRE","POU5F1__chr19_41192727_41193694",FALSE,"CYP2S1"
"chr19_40980530_40981382","POU5F1","chr19_40875221_40876102","aCRE","POU5F1__chr19_40875221_40876102",FALSE,NA
